,Model,RSQ_train,RSQ_test,MSE,MAE,RMSE
0,Linear Regression,0.6820731559214737,0.5571048412630071,7849.163301473871,44.78430257156447,88.59550384457368
1,Ridge,0.6820472556891113,0.5571738121347856,7847.940972385473,44.678930980151996,88.58860520623108
2,Lasso,0.6375417450202181,0.512145247263541,8645.955021383674,48.794758398066286,92.98362770608422
3,Elastic Net,0.6340288094070157,0.5073737007035463,8730.518258102697,48.99862533940876,93.437242350696
4,Lars,0.6820731559214737,0.5571048412630906,7849.163301472393,44.784302571552445,88.59550384456534
5,Lasso LARSs,0.29690361055367687,0.27713162564301363,12810.95944236389,60.344094795716174,113.18550897691757
6,Orthogonal Matching Pursuit,0.649201272669152,0.5185219260217411,8532.944996535165,47.98170630391451,92.37394111184801
7,Tweedie Regressor,0.6334929464831744,0.5051832196305878,8769.338830672217,49.05261200468748,93.64474801435593
8,SGD Regressor,-2.3652946163221062e+25,-2.8275927237824254e+25,5.011171741483699e+29,619911380133601.6,707896301832669.5
9,Bayesian Ridge,0.6819295553858162,0.5571715413072018,7847.981216890709,44.54788353054869,88.58883234861327
10,ARD Regression,0.6818674339457148,0.5566520958861596,7857.187034239427,44.60571821543209,88.64077523487386
11,Random Forest Regression,0.9414905573117052,0.6410577271926396,6361.317028394585,33.678690735542304,79.75786499395896
12,SVR,0.3275907013394117,0.36759055576915967,11207.810478935338,42.213196339391764,105.8669470558934
13,Linear SVR,0.47320383527785015,0.35757330875885973,11385.340095288035,77.36937653241735,106.70210914170363
14,K Neighbors Regressor,0.7887384552085536,0.5741473201168377,7547.12974579649,37.49536423477784,86.87421795789871
15,Gaussian Process Regressor,0.9722242031700631,0.3351177972229775,11783.30555864036,45.583929469323415,108.550935319049
16,PLS Regression,0.6708499412555713,0.5530448425148632,7921.116206239952,44.60827369431896,89.00065284165028
17,Decision Tree Regressor,0.9722242031756766,0.42099579732286707,10261.341650273711,38.101841144559984,101.29828058893058
18,RANSAC Regressor,0.4442474869203247,0.39130806382511385,10787.479413754838,42.47887124157293,103.86279128617157
19,Extra Trees Regressor,0.9722238943687824,0.5758240293266785,7517.414441536546,34.25190877106941,86.70302440824395
